Coefficients constant [W],Coefficients T [W/K],Coefficients j [W/(A/m^2)],T_start [K],T_end [K],j_start [A/m^2],j_end [A/m^2],Area [m^2],Temperature starts,Temperature ends,Current density starts,Current density ends
2013.681666, -7.161921, 0.517902, 293.000000, 333.000000, 1500.000000, 10750.000000, 0.210000, 293.000000, 333.000000, 1500.000000, 10750.000000
6901.996312, -28.059292, 0.666359, 293.000000, 333.000000, 10865.625000, 20000.000000, 0.210000, 333.500000, 373.000000, 10865.625000, 20000.000000
2137.440707, -6.531470, 0.464390, 333.500000, 373.000000, 1500.000000, 10750.000000, 0.210000
5639.414910, -20.077614, 0.578004, 333.500000, 373.000000, 10865.625000, 20000.000000, 0.210000
