Coefficients constant [W],Coefficients T [W/K],Coefficients j [W/(A/m^2)],T_start [K],T_end [K],j_start [A/m^2],j_end [A/m^2],Area [m^2],Temperature starts,Temperature ends,Current density starts,Current density ends
2453.652902, -8.253211, 0.517624, 293.000000, 333.000000, 1500.000000, 10750.000000, 0.210000, 293.000000, 333.000000, 1500.000000, 10750.000000
7185.014414, -28.833582, 0.675709, 293.000000, 333.000000, 10865.625000, 20000.000000, 0.210000, 333.500000, 373.000000, 10865.625000, 20000.000000
2352.914058, -6.942573, 0.464076, 333.500000, 373.000000, 1500.000000, 10750.000000, 0.210000
5684.778748, -20.188721, 0.588556, 333.500000, 373.000000, 10865.625000, 20000.000000, 0.210000
